Path,Instrument (in full),mel_spectrum,audio,pseudo
Brass/Bass_Tuba/ordinario/BTb-ord-F#1-pp-N-N.wav,Bass Tuba,"[[[[0.5159051 ]
   [0.55575764]
   [0.5588928 ]
   ...
   [0.5903395 ]
   [0.57777107]
   [0.5455948 ]]

  [[0.5886975 ]
   [0.60987574]
   [0.5325365 ]
   ...
   [0.5295711 ]
   [0.5406459 ]
   [0.45789495]]

  [[0.62447375]
   [0.57732713]
   [0.63614446]
   ...
   [0.68198985]
   [0.61673653]
   [0.6155015 ]]

  ...

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.01361237]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]]]","[ 9.0364410e-06  1.0625277e-05 -1.9754421e-05 ... -2.0267976e-06
  8.9964906e-06  1.0077964e-05]",5
Brass/Bass_Tuba/ordinario/BTb-ord-G1-pp-N-R100u.wav,Bass Tuba,"[[[[0.508395  ]
   [0.55516654]
   [0.5720897 ]
   ...
   [0.5830142 ]
   [0.5624167 ]
   [0.5805081 ]]

  [[0.5833626 ]
   [0.59498817]
   [0.51118344]
   ...
   [0.4836586 ]
   [0.5239094 ]
   [0.4951213 ]]

  [[0.6161335 ]
   [0.6048608 ]
   [0.6273962 ]
   ...
   [0.6288315 ]
   [0.48721337]
   [0.59039307]]

  ...

  [[0.        ]
   [0.01814432]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]]]","[ 3.6164420e-07 -1.4153338e-06  2.2828739e-05 ... -5.9917511e-08
 -9.9968020e-08  2.1139658e-07]",4
Brass/Bass_Tuba/ordinario/BTb-ord-G#1-pp-N-T16u.wav,Bass Tuba,"[[[[0.45463103]
   [0.49696055]
   [0.5054635 ]
   ...
   [0.5147973 ]
   [0.5401914 ]
   [0.6023387 ]]

  [[0.5229119 ]
   [0.51680815]
   [0.40697843]
   ...
   [0.3756117 ]
   [0.4628149 ]
   [0.36611325]]

  [[0.56639695]
   [0.5138071 ]
   [0.5323861 ]
   ...
   [0.41357327]
   [0.4288393 ]
   [0.48274595]]

  ...

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]]]","[ 1.1558761e-05  1.9725412e-06 -3.1382893e-05 ...  2.3124310e-06
 -9.3831859e-06 -9.8976834e-06]",5
Brass/Bass_Tuba/ordinario/BTb-ord-A1-pp-N-T23d.wav,Bass Tuba,"[[[[0.49254948]
   [0.48319298]
   [0.45590782]
   ...
   [0.65277255]
   [0.65852153]
   [0.6929567 ]]

  [[0.5720091 ]
   [0.4954238 ]
   [0.53263223]
   ...
   [0.5663314 ]
   [0.45250297]
   [0.4854768 ]]

  [[0.6295351 ]
   [0.62705004]
   [0.5533846 ]
   ...
   [0.5207174 ]
   [0.44154787]
   [0.27400094]]

  ...

  [[0.        ]
   [0.03359184]
   [0.02166634]
   ...
   [0.01458874]
   [0.        ]
   [0.04486303]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]]]","[-3.4891127e-06  4.3378968e-06  9.1744587e-06 ...  1.9936717e-05
  2.7311144e-06 -1.0254336e-05]",6
Brass/Bass_Tuba/ordinario/BTb-ord-A#1-pp-N-N.wav,Bass Tuba,"[[[[0.4725884 ]
   [0.50644726]
   [0.5285555 ]
   ...
   [0.5613357 ]
   [0.561921  ]
   [0.49624357]]

  [[0.4774254 ]
   [0.48803395]
   [0.40895873]
   ...
   [0.4653427 ]
   [0.5058586 ]
   [0.4102233 ]]

  [[0.57990706]
   [0.6044216 ]
   [0.5814236 ]
   ...
   [0.36699933]
   [0.44600192]
   [0.44867796]]

  ...

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]]]","[ 3.0595620e-06 -3.2743701e-06 -1.1771277e-05 ...  3.2723979e-06
 -2.7584178e-06 -1.2795450e-05]",6
Brass/Bass_Tuba/ordinario/BTb-ord-B1-pp-N-N.wav,Bass Tuba,"[[[[0.5268691 ]
   [0.49456564]
   [0.5340789 ]
   ...
   [0.56624234]
   [0.57018983]
   [0.61673164]]

  [[0.5375953 ]
   [0.45669705]
   [0.40952873]
   ...
   [0.44710952]
   [0.29165205]
   [0.36159095]]

  [[0.5870997 ]
   [0.57614267]
   [0.5415062 ]
   ...
   [0.38592896]
   [0.4777259 ]
   [0.4869136 ]]

  ...

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]]]","[-1.1809447e-05 -1.5529658e-06  3.4224286e-05 ... -4.1148614e-06
 -4.4085650e-06  2.9093508e-06]",5
Brass/Bass_Tuba/ordinario/BTb-ord-C2-pp-N-T13d.wav,Bass Tuba,"[[[[0.29144138]
   [0.33101463]
   [0.4161292 ]
   ...
   [0.462502  ]
   [0.50942457]
   [0.57110035]]

  [[0.44380897]
   [0.38945675]
   [0.355349  ]
   ...
   [0.35657024]
   [0.3555302 ]
   [0.37483516]]

  [[0.52559435]
   [0.53404427]
   [0.47729388]
   ...
   [0.32335433]
   [0.30993843]
   [0.22757073]]

  ...

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]]]","[ 5.5588316e-08 -7.9860911e-08 -1.5145924e-05 ... -7.8500773e-07
 -1.3815279e-05 -1.5620160e-06]",5
Brass/Bass_Tuba/ordinario/BTb-ord-C#2-pp-N-N.wav,Bass Tuba,"[[[[0.4452633 ]
   [0.44006333]
   [0.44562632]
   ...
   [0.54236543]
   [0.5737208 ]
   [0.6133791 ]]

  [[0.4204503 ]
   [0.33689904]
   [0.37632376]
   ...
   [0.39293662]
   [0.43329293]
   [0.3638807 ]]

  [[0.50643164]
   [0.49473372]
   [0.44525403]
   ...
   [0.36028948]
   [0.39056897]
   [0.32485762]]

  ...

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]]]","[-6.4173946e-07  9.5268479e-07 -1.3803365e-06 ...  1.3751142e-06
 -6.2337131e-07  4.2982629e-07]",5
Brass/Bass_Tuba/ordinario/BTb-ord-D2-pp-N-T18u.wav,Bass Tuba,"[[[[0.48062497]
   [0.4711608 ]
   [0.3949235 ]
   ...
   [0.478594  ]
   [0.5449167 ]
   [0.58351713]]

  [[0.42545477]
   [0.40717906]
   [0.39424953]
   ...
   [0.29546994]
   [0.42249742]
   [0.41186753]]

  [[0.48390856]
   [0.46509582]
   [0.41786876]
   ...
   [0.31888548]
   [0.3816029 ]
   [0.42903948]]

  ...

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]]]","[-2.14949250e-06  1.90971186e-05 -1.13623100e-05 ...  4.09840777e-06
  1.19293345e-05  2.81575149e-06]",5
Brass/Bass_Tuba/ordinario/BTb-ord-D#2-pp-N-T11u.wav,Bass Tuba,"[[[[0.44281864]
   [0.48798028]
   [0.4502901 ]
   ...
   [0.5761181 ]
   [0.6152938 ]
   [0.62814075]]

  [[0.44740716]
   [0.44958988]
   [0.42011255]
   ...
   [0.3804965 ]
   [0.42979997]
   [0.4129836 ]]

  [[0.45509425]
   [0.35038877]
   [0.39437547]
   ...
   [0.34292993]
   [0.29892284]
   [0.44367146]]

  ...

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]]]","[ 7.4680429e-08 -1.7241109e-07  4.5314664e-07 ... -1.8556129e-05
  9.7613147e-06  9.7343182e-06]",5
